time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss
62,894.64,11008,119.86113366,686080,335,0.0003,1.2874514296650887,0.0074281218,0.2,0.5170888900756836,-0.97466806396842,0.064892578125,-0.006204342102864757,3340,0.5249916315078735
62,894.53,11039,119.85336593999999,688128,336,0.0003,1.2612123906612396,0.007682551,0.2,0.6977610886096954,-0.9903092250227928,0.059033203125,-0.006156844343058765,3350,0.4856514036655426
62,894.69,11072,119.91253586,690176,337,0.0003,1.4607521444559097,0.0061535733,0.2,0.5335901379585266,-0.9647573679685593,0.054541015625,-0.003092201292747632,3360,0.6289685964584351
62,894.76,11103,119.96033524,692224,338,0.0003,1.3552037626504898,0.0047855955,0.2,0.6495865881443024,-0.9584929443895817,0.059228515625,-0.0039982379617867995,3370,0.6502933502197266
62,894.45,11136,119.88766658,694272,339,0.0003,1.472875103354454,0.0067364555,0.2,0.672320693731308,-0.9694234564900398,0.059228515625,-0.0063159157580230385,3380,0.5514351725578308
62,894.29,11168,119.90451709999999,696320,340,0.0003,1.4397391311824321,0.005189053,0.2,0.5952012836933136,-0.9400834746658802,0.053662109375,-0.004827402299270034,3390,0.6146538257598877
62,894.2,11201,119.87200150999999,698368,341,0.0003,1.306851963698864,0.007090318,0.2,0.5919623374938965,-0.9646675750613213,0.065380859375,-0.004534395545488223,3400,0.5848429203033447
62,894.06,11233,119.91637541,700416,342,0.0003,1.1521184958517552,0.0077749654,0.2,0.5875104069709778,-0.9877299219369888,0.05439453125,-0.004836862860247493,3410,0.36677640676498413
62,893.9,11265,119.84374205000002,702464,343,0.0003,1.4727087810635566,0.006537603,0.2,0.663595974445343,-1.0127966023981572,0.057373046875,-0.004583691852167249,3420,0.44043704867362976
62,893.94,11295,120.00021449,704512,344,0.0003,1.0402538448572158,0.0078340955,0.2,0.583682656288147,-0.9614227958023548,0.07978515625,-0.006162030808627606,3430,0.4097333252429962
62,894.0,11328,120.06119761999999,706560,345,0.0003,1.1406834252178668,0.007242403,0.2,0.4484845995903015,-0.9725416421890258,0.06376953125,-0.0057521294918842615,3440,0.36334165930747986
62,893.98,11360,120.1673906,708608,346,0.0003,1.4540300525724887,0.005918181,0.2,0.6235441863536835,-0.9549862451851368,0.05546875,-0.007980930618941784,3450,0.428724467754364
62,893.91,11392,120.25728183,710656,347,0.0003,1.2017166942358017,0.0072292844,0.2,0.5752576291561127,-0.939674723148346,0.053662109375,-0.003882673702901229,3460,0.6063596606254578
62,893.81,11423,120.41901033,712704,348,0.0003,1.163604348152876,0.010319576,0.2,0.5836260914802551,-0.9364230372011662,0.077783203125,-0.007083348883315921,3470,0.4144413471221924
62,893.95,11455,120.44969596000003,714752,349,0.0003,1.320704048871994,0.0050452445,0.2,0.6260181069374084,-0.9837762407958508,0.043310546875,-0.0038352867763023824,3480,0.47746512293815613
62,894.01,11485,120.52336357000001,716800,350,0.0003,1.2407210491597653,0.0057730153,0.2,0.7243034839630127,-0.9616670981049538,0.045556640625,-0.0058183113404084,3490,0.546953022480011
62,894.12,11517,120.69174221000002,718848,351,0.0003,1.2568435288965703,0.006168124,0.2,0.6448315680027008,-0.9642881028354168,0.0572265625,-0.007282420783303678,3500,0.457608163356781
62,893.96,11548,120.84265916,720896,352,0.0003,1.2103815719485282,0.006090117,0.2,0.6634654402732849,-0.9789478220045567,0.05341796875,-0.006331735706771724,3510,0.42021334171295166
62,894.03,11580,120.74377827,722944,353,0.0003,1.394588440656662,0.008059651,0.2,0.6689195036888123,-0.96840910166502,0.056298828125,-0.007330439030192792,3520,0.5373042225837708
62,894.04,11611,120.93419216999999,724992,354,0.0003,1.1694549590349197,0.007268413,0.2,0.6397275924682617,-0.919771121442318,0.05849609375,-0.004661669739289209,3530,0.4352312386035919
62,894.14,11643,121.02624666,727040,355,0.0003,1.1532638654112817,0.0066347504,0.2,0.5707530379295349,-0.9185803107917309,0.061279296875,-0.006068089883774519,3540,0.3443460762500763
62,894.32,11674,121.14563453999997,729088,356,0.0003,1.0725563868880272,0.007909766,0.2,0.6680271923542023,-0.9348042078316212,0.0779296875,-0.008438264991855248,3550,0.37328439950942993
62,893.93,11705,121.10418994,731136,357,0.0003,1.4788760557770728,0.006930301,0.2,0.6279127597808838,-0.9335316114127636,0.05859375,-0.005637257290072739,3560,0.5934836268424988
